"Property","N","R2","concordance","MSE","RMSE","bias","MSEc","RMSEc","RPD","RPIQ"
"EC..avg.for.some._cal",37,0.929,0.833,34268.932,185.119,13.808,34078.264,184.603,2.283,2.653
"EC..avg.for.some._val",14,0.334,0.063,2263561.556,1504.514,-422.836,2084771.128,1443.874,1.032,0.255
"Ctot.avg_cal",48,0.926,0.86,0.005,0.073,-0.003,0.005,0.073,2.43,2.3
"Ctot.avg_val",20,0.266,-0.303,0.051,0.225,0.012,0.051,0.225,0.842,0.667
"Ntot.avg_cal",47,0.946,0.878,0,0.004,0,0,0.004,2.623,3.227
"Ntot.avg_val",20,0.001,-0.027,0,0.008,0.001,0,0.008,0.821,0.847
"Ctot.N.w.w_cal",48,0.927,0.894,4685.892,68.454,1.044,4684.802,68.446,2.787,2.249
"Ctot.N.w.w_val",20,0.001,0.027,24303.678,155.896,27.466,23549.27,153.458,0.893,0.551
"Ash..1...mass.lost.from.105.C.dry.weight.under.oxic.conditions..avg_cal",55,0.938,0.874,0.007,0.086,0.004,0.007,0.086,2.539,4.594
"Ash..1...mass.lost.from.105.C.dry.weight.under.oxic.conditions..avg_val",24,0.008,0.065,0.045,0.212,0.017,0.045,0.212,0.955,1.741
"Fixed.Carbon...1..ash...volatiles..avg_cal",55,0.948,0.878,0.006,0.076,0,0.006,0.076,2.595,3.698
"Fixed.Carbon...1..ash...volatiles..avg_val",24,0.004,-0.041,0.051,0.226,-0.012,0.051,0.226,0.932,1.166
"volatile.mass.._cal",57,0.929,0.905,0.001,0.035,0.002,0.001,0.035,2.889,4.17
"volatile.mass.._val",24,0.001,0.034,0.007,0.081,0.008,0.006,0.08,0.857,1.063
"CEC..mmol.kg._cal",38,0.938,0.836,3172.186,56.322,2.498,3165.947,56.267,2.305,3.78
"CEC..mmol.kg._val",18,0.053,-0.142,22664.375,150.547,11.202,22538.891,150.13,0.895,1.438
"exchg.Ca..mmol.kg._cal",37,0.919,0.888,2075.205,45.554,1.348,2073.387,45.534,2.778,4.334
"exchg.Ca..mmol.kg._val",18,0.044,-0.102,64060.515,253.102,-61.34,60297.972,245.556,0.906,0.646
"exchg.K..mmol.kg._cal",37,0.951,0.83,6065.769,77.883,1.215,6064.292,77.874,2.28,4.288
"exchg.K..mmol.kg._val",18,0.202,0.253,21604.63,146.985,7.183,21553.031,146.81,1.141,1.902
"exchg.Mg..mmol.kg._cal",37,0.925,0.865,321.239,17.923,0.558,320.927,17.914,2.533,4.767
"exchg.Mg..mmol.kg._val",18,0.01,0.046,5675.532,75.336,-14.828,5455.667,73.862,0.998,1.082
"exchg.Na..mmol.kg._cal",37,0.931,0.838,781.847,27.962,3.546,769.272,27.736,2.31,1.937
"exchg.Na..mmol.kg._val",18,0.057,0.174,2071.293,45.511,17.968,1748.433,41.814,0.916,1.268
"Ca..mg.kg._cal",51,0.977,0.953,145933365.455,12080.288,-542.872,145638655.241,12068.084,4.622,1.55
"Ca..mg.kg._val",21,0.024,-0.143,9290428424.183,96386.869,-7035.897,9240924583.589,96129.728,0.748,0.487
"K..mg.kg._cal",51,0.941,0.891,13364447.202,3655.742,118.627,13350374.783,3653.816,2.744,4.678
"K..mg.kg._val",21,0.006,-0.048,152816369.317,12361.892,-2229.159,147847218.818,12159.244,0.907,1.324
"Mg..mg.kg._cal",51,0.95,0.894,1226321.916,1107.394,54.889,1223309.108,1106.033,2.802,4.538
