"Property","Comps","N","R2","concordance","MSE","RMSE","bias","MSEc","RMSEc","RPD","RPIQ"
"EC_.uS._cal","4",42,0.669,0.782,159012.782,398.764,0,159012.782,398.764,1.759,1.409
"EC_.uS._val","",14,0.095,0.1,2191311.154,1480.308,-365.697,2057576.547,1434.426,1.049,0.259
"C_tot_avg_cal","1",52,0.025,0.047,9.413,3.068,0,9.413,3.068,1.023,0.058
"C_tot_avg_val","",22,0.583,0.334,0.275,0.524,0.4,0.115,0.339,0.394,0.365
"N_tot_avg_cal","1",52,0.027,0.052,0.019,0.138,0,0.019,0.138,1.024,0.112
"N_tot_avg_val","",22,0.12,0.146,0.001,0.026,0.014,0,0.022,0.29,0.338
"C_tot_to_N_.w.w._cal","5",52,0.715,0.817,14642.956,121.008,0,14642.956,121.008,1.89,1.393
"C_tot_to_N_.w.w._val","",22,0.401,0.593,32041.145,179,-7.909,31978.587,178.826,1.055,0.728
"Ash_avg_cal","1",61,0.015,0.028,33.281,5.769,0,33.281,5.769,1.016,0.083
"Ash_avg_val","",26,0.64,-0.253,1.313,1.146,0.654,0.885,0.941,0.2,0.339
"Fixed_Carbon_avg_cal","1",61,0.033,0.062,2.756,1.66,0,2.756,1.66,1.025,0.22
"Fixed_Carbon_avg_val","",26,0.669,0.616,0.072,0.268,0.154,0.048,0.22,0.822,1.397
"volatile_mass_cal","1",63,0.02,0.038,17.797,4.219,0,17.797,4.219,1.018,0.037
"volatile_mass_val","",26,0.026,0.028,0.513,0.716,0.381,0.367,0.606,0.109,0.154
"CEC_.mmol.kg._cal","5",41,0.626,0.751,9691.795,98.447,0,9691.795,98.447,1.656,2.207
"CEC_.mmol.kg._val","",18,0.044,0.183,35309.671,187.909,56.172,32154.34,179.316,0.717,1.152
"exchg_Ca_.mmol.kg._cal","1",42,0.493,0.645,18741.485,136.9,0,18741.485,136.9,1.421,1.477
"exchg_Ca_.mmol.kg._val","",18,0.557,0.651,22966.205,151.546,-28.56,22150.504,148.83,1.512,1.079
"exchg_K_.mmol.kg._cal","9",40,0.926,0.938,2440.314,49.4,0,2440.314,49.4,3.724,6.955
"exchg_K_.mmol.kg._val","",18,0.08,0.24,67878.726,260.535,46.801,65688.357,256.297,0.643,1.073
"exchg_Mg_.mmol.kg._cal","4",41,0.599,0.731,1632.197,40.4,0,1632.197,40.4,1.599,2.214
"exchg_Mg_.mmol.kg._val","",18,0.121,0.327,6707.804,81.901,6.142,6670.078,81.671,0.918,0.995
"exchg_Na_.mmol.kg._cal","7",40,0.867,0.905,781.618,27.957,0,781.618,27.957,2.773,1.945
"exchg_Na_.mmol.kg._val","",18,0.22,0.329,6408.404,80.053,10.159,6305.194,79.405,0.521,0.721
"Ca_.mg.kg._cal","4",55,0.954,0.958,226547197.015,15051.485,0,226547197.015,15051.485,4.684,1.445
"Ca_.mg.kg._val","",23,0.957,0.935,291726169.109,17079.993,-2836.509,283680385.96,16842.814,4.816,3.338
"K_.mg.kg._cal","3",55,0.697,0.806,35079619.74,5922.805,0,35079619.74,5922.805,1.832,3.22
"K_.mg.kg._val","",23,0.419,0.615,93260556.656,9657.151,-515.831,92994474.618,9643.364,1.274,2.072
"Mg_.mg.kg._cal","7",55,0.872,0.914,1479566.958,1216.375,0,1479566.958,1216.375,2.817,4.613
"Mg_.mg.kg._val","",23,0.385,0.557,7962631.075,2821.813,635.038,7559357.218,2749.429,0.935,1.328
"Na_.mg.kg._cal","3",55,0.551,0.697,3473591.278,1863.757,0,3473591.278,1863.757,1.505,1.62
"Na_.mg.kg._val","",23,0.305,0.373,9928051.491,3150.881,-789.481,9304770.919,3050.372,1.176,1.123
