"Property","Comps","N","R2","concordance","MSE","RMSE","bias","MSEc","RMSEc","RPD","RPIQ"
"C_tot_avg_cal","2",12,0.969,0.902,0.001,0.029,0,0.001,0.029,5.975,4.574
"C_tot_avg_val","",4,0.528,-0.296,0.004,0.065,-0.005,0.004,0.065,0.277,0.362
"N_tot_avg_cal","4",12,0.931,0.884,0,0.002,0,0,0.002,3.966,5.482
"N_tot_avg_val","",4,0.819,0.664,0,0.005,0.002,0,0.004,2.172,3.329
"C_tot_to_N_.w.w._cal","3",12,0.904,0.87,444.542,21.084,0,444.542,21.084,3.363,2.522
"C_tot_to_N_.w.w._val","",4,0.787,0.177,103678.633,321.992,-209.927,59609.136,244.15,1.046,1.635
"Ash_avg_cal","3",12,0.945,0.891,0.002,0.044,0,0.002,0.044,4.441,7.442
"Ash_avg_val","",4,0.933,0.567,0.005,0.07,-0.063,0.001,0.031,1.502,1.731
"Fixed_Carbon_avg_cal","3",12,0.903,0.87,0.002,0.047,0,0.002,0.047,3.356,6.032
"Fixed_Carbon_avg_val","",4,0.915,0.716,0,0.014,0.002,0,0.014,3.91,4.491
"volatile_mass_cal","2",12,0.498,0.609,0.001,0.029,0,0.001,0.029,1.474,2.359
"volatile_mass_val","",4,0.039,0.017,0.005,0.068,0.044,0.003,0.051,0.891,1.502
"CEC_.mmol.kg._cal","2",10,0.709,0.747,5099.607,71.412,0,5099.607,71.412,1.953,3.002
"CEC_.mmol.kg._val","",3,0.092,-0.058,7239.927,85.088,-69.264,2442.399,49.421,0.262,0.234
"exchg_Ca_.mmol.kg._cal","1",10,0.392,0.507,9276.803,96.316,0,9276.803,96.316,1.352,0.948
"exchg_Ca_.mmol.kg._val","",3,0.976,0.157,4927.435,70.196,68.734,203.128,14.252,0.297,0.271
"exchg_K_.mmol.kg._cal","1",10,0.234,0.341,12254.08,110.698,0,12254.08,110.698,1.204,2.386
"exchg_K_.mmol.kg._val","",3,0.228,0.01,16585.369,128.784,127.859,237.49,15.411,0.166,0.143
"exchg_Mg_.mmol.kg._cal","1",9,0.144,0.223,3333.123,57.733,0,3333.123,57.733,1.146,1.095
"exchg_Mg_.mmol.kg._val","",3,0.988,0.013,7439.97,86.255,85.944,53.552,7.318,0.164,0.15
"exchg_Na_.mmol.kg._cal","1",9,0.227,0.329,432.825,20.804,0,432.825,20.804,1.206,1.696
"exchg_Na_.mmol.kg._val","",3,0.962,0.092,169.541,13.021,8.745,93.059,9.647,1.009,0.874
"Ca_.mg.kg._cal","5",11,1,0.909,431399.488,656.81,0,431399.488,656.81,110.335,41.201
"Ca_.mg.kg._val","",4,0.965,0.711,15427149.892,3927.741,788.051,14806125.97,3847.873,3.091,3.23
"K_.mg.kg._cal","3",11,0.782,0.798,17309472.183,4160.465,0,17309472.183,4160.465,2.248,3.401
"K_.mg.kg._val","",4,0.004,-0.018,78089184.642,8836.809,7226.046,25873448.787,5086.595,0.505,0.835
"Mg_.mg.kg._cal","3",11,0.913,0.868,526717.665,725.753,0,526717.665,725.753,3.549,4.258
"Mg_.mg.kg._val","",4,0.958,0.607,1797641.65,1340.762,546.42,1499066.516,1224.364,1.238,2.06
"Na_.mg.kg._cal","1",11,0.372,0.493,1566108.962,1251.443,0,1566108.962,1251.443,1.323,2.614
"Na_.mg.kg._val","",4,0.818,0.178,2949796.087,1717.497,-423.852,2770145.594,1664.375,1.276,1.923
"Yield_.w.w._cal","2",11,0.936,0.879,0.001,0.03,0,0.001,0.03,4.152,3.188
"Yield_.w.w._val","",3,0.588,0.489,0,0.018,-0.006,0,0.017,1.782,1.781
"Moisture_105avg_cal","5",12,0.959,0.897,0,0.002,0,0,0.002,5.156,6.559
"Moisture_105avg_val","",4,0.009,0.068,0,0.007,-0.002,0,0.007,0.815,1.049
"labile_mass_avg_cal","3",10,0.75,0.772,0,0.008,0,0,0.008,2.109,2.98
"labile_mass_avg_val","",3,0.853,0.356,0,0.015,-0.012,0,0.009,1.241,1.148
"Fixed_Carbon_avg.1_cal","2",12,0.774,0.8,0.005,0.073,0,0.005,0.073,2.197,3.922
"Fixed_Carbon_avg.1_val","",4,0.175,0.282,0.001,0.031,0.003,0.001,0.031,0.777,1.045
"Ash_Free_Mass_avg_cal","4",12,0.951,0.894,0.002,0.042,0,0.002,0.042,4.725,7.906
"Ash_Free_Mass_avg_val","",4,0.964,0.649,0.003,0.053,0.049,0,0.02,1.977,2.279
"Volatiles_avg_cal","2",12,0.95,0.893,0.001,0.03,0,0.001,0.03,4.693,3.876
"Volatiles_avg_val","",4,0.964,0.707,0.002,0.041,0.006,0.002,0.041,2.872,2.391
"Corg_.w.w._cal","3",9,0.996,0.887,0,0.013,0,0,0.013,15.916,5.152
