"Property","N","R2","concordance","MSE","RMSE","bias","MSEc","RMSEc","RPD","RPIQ"
"EC_.uS._cal",37,0.925,0.842,32634.97,180.652,10.742,32519.573,180.332,2.34,2.719
"EC_.uS._val",14,0.002,0.004,2428554.713,1558.382,-438.718,2236081.418,1495.353,0.996,0.246
"C_tot_avg_cal",48,0.973,0.956,0.001,0.035,0.003,0.001,0.035,5.008,4.739
"C_tot_avg_val",20,0.819,0.805,0.008,0.091,0.034,0.007,0.084,2.084,1.65
"N_tot_avg_cal",47,0.943,0.921,0,0.003,0,0,0.003,3.287,4.044
"N_tot_avg_val",20,0.672,0.754,0,0.004,0,0,0.004,1.778,1.835
"C_tot_to_N_.w.w._cal",48,0.955,0.93,2918.285,54.021,-0.437,2918.094,54.019,3.532,2.85
"C_tot_to_N_.w.w._val",20,0.373,0.512,11983.1,109.467,20.785,11551.09,107.476,1.272,0.785
"Ash_avg_cal",55,0.969,0.955,0.002,0.047,-0.001,0.002,0.047,4.646,8.407
"Ash_avg_val",24,0.938,0.901,0.004,0.062,0.004,0.004,0.062,3.286,5.991
"Fixed_Carbon_avg_cal",55,0.955,0.943,0.003,0.051,0.004,0.003,0.051,3.889,5.542
"Fixed_Carbon_avg_val",24,0.858,0.839,0.008,0.09,0.017,0.008,0.089,2.337,2.922
"volatile_mass_cal",57,0.948,0.941,0.001,0.027,0.001,0.001,0.027,3.78,5.456
"volatile_mass_val",24,0.429,0.618,0.003,0.054,-0.009,0.003,0.054,1.274,1.581
"CEC_.mmol.kg._cal",38,0.961,0.896,1943.633,44.087,2.317,1938.266,44.026,2.944,4.829
"CEC_.mmol.kg._val",18,0.173,0.27,14385.183,119.938,14.078,14186.992,119.109,1.124,1.805
"exchg_Ca_.mmol.kg._cal",37,0.958,0.935,1017.54,31.899,-0.336,1017.427,31.897,3.967,6.19
"exchg_Ca_.mmol.kg._val",18,0.518,0.401,35892.793,189.454,-76.41,30054.346,173.362,1.21,0.863
"exchg_K_.mmol.kg._cal",37,0.957,0.927,2356.458,48.543,1.527,2354.127,48.519,3.658,6.88
"exchg_K_.mmol.kg._val",18,0.066,0.215,30059.541,173.377,34.962,28837.201,169.815,0.967,1.613
"exchg_Mg_.mmol.kg._cal",37,0.953,0.911,198.439,14.087,0.075,198.433,14.087,3.222,6.065
"exchg_Mg_.mmol.kg._val",18,0.197,0.22,4664.333,68.296,-16.184,4402.407,66.351,1.101,1.193
"exchg_Na_.mmol.kg._cal",37,0.939,0.869,623.163,24.963,0.578,622.829,24.957,2.587,2.169
"exchg_Na_.mmol.kg._val",18,0.464,0.556,939.152,30.646,6.842,892.343,29.872,1.361,1.883
"Ca_.mg.kg._cal",51,0.977,0.952,148802967.156,12198.482,-737.192,148259515.339,12176.186,4.577,1.535
"Ca_.mg.kg._val",21,0.956,0.891,520364990.31,22811.51,-9476.544,430560105.844,20749.942,3.162,2.06
"K_.mg.kg._cal",51,0.961,0.932,7787352.692,2790.583,123.438,7772115.873,2787.851,3.595,6.128
"K_.mg.kg._val",21,0.388,0.473,76204418.058,8729.514,-1089.797,75016759.654,8661.222,1.285,1.875
"Mg_.mg.kg._cal",51,0.969,0.944,579619.531,761.327,57.711,576288.918,759.137,4.076,6.601
"Mg_.mg.kg._val",21,0.562,0.687,2576151.079,1605.039,345.169,2457009.112,1567.485,1.508,2.223
"Na_.mg.kg._cal",51,0.934,0.887,622023.305,788.685,46.101,619898.003,787.336,2.687,3.65
"Na_.mg.kg._val",21,0.464,0.377,5755472.983,2399.057,-381.568,5609878.725,2368.518,1.243,1.426
"Temp._cal",42,0.956,0.943,222.748,14.925,-0.645,222.332,14.911,4.173,6.7
"Temp._val",18,0.614,0.637,1961.392,44.288,-4.889,1937.486,44.017,1.561,1.129
"Yield_.w.w._cal",41,0.959,0.931,0.001,0.03,-0.003,0.001,0.029,3.709,5.106
"Yield_.w.w._val",19,0.912,0.844,0.003,0.052,-0.004,0.003,0.052,2.561,1.814
"Moisture_105avg_cal",56,0.95,0.913,0,0.004,0,0,0.004,3.063,4.555
"Moisture_105avg_val",24,0.536,0.561,0,0.009,-0.003,0,0.009,1.379,2.132
"labile_mass_avg_cal",42,0.947,0.901,0,0.008,0,0,0.008,2.952,4.497
"labile_mass_avg_val",20,0.221,0.315,0,0.018,0,0,0.018,1.16,2.149
"Fixed_Carbon_avg.1_cal",54,0.97,0.955,0.002,0.039,0.005,0.001,0.038,4.68,5.275
"Fixed_Carbon_avg.1_val",24,0.825,0.817,0.01,0.099,0.018,0.009,0.097,2.162,2.082
"Ash_Free_Mass_avg_cal",54,0.966,0.954,0.002,0.045,0.002,0.002,0.045,4.545,7.859
"Ash_Free_Mass_avg_val",24,0.969,0.923,0.002,0.047,-0.008,0.002,0.046,4.108,5.392
"Volatiles_avg_cal",54,0.969,0.954,0.001,0.038,-0.003,0.001,0.038,4.582,5.607
"Volatiles_avg_val",24,0.827,0.808,0.01,0.102,-0.031,0.009,0.097,2.094,2.864
"Corg_.w.w._cal",35,0.988,0.957,0.001,0.033,0.004,0.001,0.033,6.284,4.116
"Corg_.w.w._val",16,0.976,0.881,0.006,0.077,0.034,0.005,0.07,3.324,5.729
"Cinorg_cal",35,0.948,0.916,0,0.014,-0.001,0,0.014,3.36,2.401
"Cinorg_val",16,0.85,0.802,0.001,0.024,0.01,0,0.022,2.161,1.905
"N_tot_.w.w._cal",45,0.915,0.869,0,0.001,0,0,0.001,2.511,2.959
"N_tot_.w.w._val",19,0.507,0.571,0,0.001,0,0,0.001,1.424,1.88
"H_tot_.w.w._cal",32,0.988,0.955,0,0.002,0,0,0.002,6.399,6.788
"H_tot_.w.w._val",15,0.903,0.839,0,0.004,0,0,0.004,2.648,2.514
"O_ult_cal",32,0.956,0.936,0,0.012,-0.001,0,0.012,4.214,6.601
"O_ult_val",15,0.725,0.75,0.001,0.027,-0.011,0.001,0.025,1.798,2.377
"Oc_.A_.Si_Fe._cal",32,0.954,0.935,0,0.012,-0.001,0,0.012,4.128,6.359
"Oc_.A_.Si_Fe._val",15,0.738,0.76,0.001,0.026,-0.011,0.001,0.024,1.831,2.276
"Oc_.Al_Si_Fe_Ca._cal",32,0.992,0.958,0,0.015,0.002,0,0.014,7.276,1.085
"Oc_.Al_Si_Fe_Ca._val",15,0.936,0.881,0.001,0.038,0.01,0.001,0.037,3.365,2.944
"Oc_.Al_Si_Fe_Cinorg._cal",32,0.923,0.896,0.003,0.053,0.001,0.003,0.053,2.952,3.367
"Oc_.Al_Si_Fe_Cinorg._val",15,0.724,0.664,0.014,0.117,-0.007,0.014,0.117,1.693,1.964
"Oc_.Cinorg._cal",32,0.929,0.895,0.003,0.053,0.001,0.003,0.053,2.945,3.379
"Oc_.Cinorg._val",15,0.739,0.668,0.013,0.115,-0.009,0.013,0.115,1.709,1.961
"mg_Al2O3_O_per_kg_char_cal",50,0.886,0.868,214309.639,462.936,34.096,213147.116,461.679,2.444,1.561
